City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Korla,41.7597,86.1469,54.27,31,98,5.1,overcast clouds
305,Byron Bay,-28.65,153.6167,64.29,83,52,7.18,broken clouds
306,Jizan,17.3333,42.6667,81.54,65,11,8.77,few clouds
307,Ropcha,48.1199,25.7742,30.04,93,100,1.39,overcast clouds
308,Jiblah,13.9216,44.1467,60.57,73,97,0.69,overcast clouds
309,Altamira,-3.2033,-52.2064,89.69,62,40,8.05,scattered clouds
310,Haradok,55.4624,29.9816,30.31,94,73,5.01,broken clouds
311,Dawei,14.0833,98.2,77.5,86,93,1.77,overcast clouds
312,Artvin,41.1667,41.8333,23.02,95,100,2.01,overcast clouds
313,Zeya,53.75,127.2667,1.08,98,25,3.29,scattered clouds
314,Berezovyy,51.6667,135.7,2.53,98,62,4.03,broken clouds
315,Diego De Almagro,-26.3667,-70.05,81.7,24,0,16.8,clear sky
316,Biltine,14.5333,20.9167,84.52,12,92,9.8,overcast clouds
317,Mariental,-24.6333,17.9667,72.82,56,100,14.12,overcast clouds
318,Nuziders,47.1667,9.8,57.25,80,6,9.15,clear sky
319,Phonhong,18.5007,102.4166,79.54,69,100,2.91,overcast clouds
320,San Jeronimo,-11.9472,-75.2829,51.89,83,100,4.81,overcast clouds
321,Piacabucu,-10.4056,-36.4344,84.07,65,16,10.4,few clouds
322,Berdigestyakh,62.0989,126.6992,-4.4,99,100,2.91,overcast clouds
323,Waipawa,-41.4122,175.5153,54.55,77,100,5.77,overcast clouds
324,Meiganga,6.5167,14.3,79.81,24,91,2.73,overcast clouds
325,Tilichiki,60.4667,166.1,-2.85,88,5,8.01,clear sky
326,Rocha,-34.4833,-54.3333,73.53,49,4,10.13,clear sky
327,Akyab,20.15,92.9,75.72,52,5,8.66,clear sky
328,Acajutla,13.5928,-89.8275,90.03,44,12,9.78,few clouds
329,Kodinsk,58.6881,99.1844,-18.76,100,100,1.32,overcast clouds
330,Dillon,34.4166,-79.3712,51.87,26,0,7.0,clear sky
331,Japura,-0.3167,102.35,74.03,99,96,1.3,overcast clouds
332,Manavalakurichi,8.1333,77.3,79.0,66,100,6.85,overcast clouds
333,Carbonia,39.1672,8.5222,56.05,91,100,4.12,overcast clouds
334,Warrnambool,-38.3833,142.4833,60.82,94,100,7.52,overcast clouds
335,Dingle,10.9995,122.6711,76.57,91,19,5.32,few clouds
336,Matagami,49.7502,-77.6328,14.11,52,75,12.66,broken clouds
337,Plougastel-Daoulas,48.3667,-4.3667,47.05,84,0,4.61,clear sky
338,Kardamaina,36.7814,27.1425,45.88,45,20,8.05,few clouds
339,Nynashamn,58.9034,17.9479,35.11,72,13,7.02,few clouds
340,Lamu,-2.2717,40.902,80.82,83,100,14.76,overcast clouds
341,Kichera,55.9375,110.0997,-6.88,86,80,6.13,broken clouds
342,Teguldet,57.3064,88.1667,-8.52,100,24,4.56,few clouds
343,Gampola,7.1643,80.5696,68.94,92,84,3.96,broken clouds
344,Mandalgovi,45.7625,106.2708,26.71,61,0,9.46,clear sky
